State,Account Length,Area Code,Phone,Int'l Plan,VMail Plan,VMail Message,Day Mins,Day Calls,Day Charge,Eve Mins,Eve Calls,Eve Charge,Night Mins,Night Calls,Night Charge,Intl Mins,Intl Calls,Intl Charge,CustServ Calls,Churn?
MA,179,776,562-4426,no,yes,400,1.4094316488158944,4,3.848624437703632,2.148317265863088,4,3.4103569676391468,2.049151416719208,350,4.864806056804008,5.792277363955616,9,1.6645028778838205,7,False.
MA,126,776,164-4226,no,no,0,3.816301464693282,2,7.0709549060195,5.420409753405697,9,3.1010696967511544,8.989510760940297,250,0.4242104752880697,4.142588527377276,5,10.617313362277589,1,False.
OR,52,798,521-3045,yes,no,0,4.761451007673512,2,6.5752810298200295,3.5357186950716923,6,3.7702507576575233,5.043751831924423,200,4.594888172955266,6.052541264501843,5,3.918532222373023,4,False.
IA,108,736,315-7780,yes,no,0,2.453215979109556,3,1.4204430244310955,1.6307207471629268,2,6.495909033491488,4.257160596108476,200,3.71611713714278,5.777424281338522,6,4.4669283278556335,7,False.
NY,68,788,277-5231,yes,yes,300,6.681022540231721,2,5.524527095983255,2.336733817789543,0,6.257225420188512,1.1043171678518102,100,7.967922330134099,5.6681930988506295,5,0.006299948338106,9,True.
MA,103,776,889-3737,yes,yes,500,0.5245685665295303,1,1.0299727243021164,0.2861042496322907,1,3.1177313662822748,3.773533072108475,200,4.797880438070526,3.9466501233458313,5,1.0662320627890396,6,False.
ID,44,736,107-2430,yes,no,0,5.202292614956599,4,6.95899933918177,6.557543885865933,5,4.162659223331032,3.724250438689263,250,5.430172610162241,4.170746451781326,3,6.246786087058428,5,False.
OR,72,798,170-5847,yes,yes,100,14.420062295096416,1,9.949986435305696,7.186160235732495,2,10.673368520906074,4.3443340694809525,200,5.991417519348917,5.382598269404487,5,9.38242263649706,2,True.
NJ,172,787,262-9339,yes,yes,300,8.040837019861915,2,5.529717222769488,10.123678060664508,3,7.1929939907369285,0.0136750570626889,300,6.817066468702111,5.696785143169712,6,5.567162801066029,7,True.
DE,119,686,364-5722,no,yes,300,1.4319131723297716,5,1.8807899393151093,1.948235015370228,5,3.0263746018328064,3.2776299871317547,200,4.032929212005454,5.139056648034424,3,2.31770060247746,6,False.
NY,34,788,164-5168,no,yes,400,0.2142119816605596,3,5.497992002999369,5.789984710937858,7,1.2635490139430106,3.5978862129954328,300,3.28211361705802,5.557044147783188,4,5.534784794230498,4,False.
RI,9,827,721-2734,yes,yes,300,8.747489321290164,3,8.089794224376929,3.9114519352058448,5,6.327743763908771,4.036875028328425,150,6.812471818680521,5.851897351585273,4,3.3828276430135804,5,True.
IA,193,736,250-9435,yes,yes,1000,8.249791311973897,2,6.581569846597665,4.33511668037146,1,7.160624963450241,5.714050222670115,300,3.764278637474236,5.272825054535618,9,4.425759461409011,7,False.
MI,89,777,468-6742,no,no,0,3.0329424311274904,4,4.326956143447147,0.5072382708428664,5,5.100175161932573,6.659860921240232,50,3.41376151337185,4.558845360382946,2,6.820232041600311,5,True.
MA,93,776,514-5722,yes,yes,300,1.0195755889338196,5,2.2277320068729054,2.39447853035041,2,3.2348553891938288,2.4204793618421547,150,3.748517644425938,4.382939130965896,4,2.9584713572903287,6,False.
NE,114,786,522-1664,yes,no,0,8.852459445514134,3,8.99297071102579,7.178303774450806,7,5.146968974336588,4.572527999079741,250,6.002732426078008,4.7629447461660686,6,3.5670989438363616,5,True.
IA,172,736,483-1086,no,yes,100,13.227378301606109,2,9.55303210104357,8.130796392936102,1,8.962237868344882,3.5056569430851487,200,5.683622006616083,5.614934023378609,8,7.208737700644939,3,True.
MO,169,777,733-4956,no,no,0,8.582965555640307,2,7.316403153906942,6.740893595370045,5,6.196260047742831,5.912691180324711,250,5.107956498101115,6.972216477319171,5,6.724757516171518,3,True.
AZ,99,659,309-9469,yes,yes,600,5.458250352716795,8,5.087269597811932,3.485274798505681,6,3.7310706485019542,5.447250812368365,50,5.826075503351825,5.273625487482792,7,1.074692668663646,6,True.
NE,116,786,157-6634,no,yes,300,5.72056916389535,4,2.8171136242225474,4.096705687874478,8,1.0604746310267812,1.003071268259664,300,1.700264228443912,5.434149044362062,5,4.10732616624693,3,False.
WA,136,876,982-8619,yes,no,0,3.9474236250400185,4,3.368133638454066,2.209250991920372,1,5.844778226693031,4.1591524570683145,150,5.154238700418379,4.8295591469183945,5,2.94171652047696,7,False.
ID,44,736,282-7765,yes,yes,200,11.966452679352011,1,8.62961280662514,8.354639212474815,1,9.903716129073398,1.919298616629434,200,5.423909586836555,3.660109856020425,5,9.7851032203092,3,True.
NC,161,786,842-9043,no,no,0,4.146624497458072,5,1.3822590661873404,1.2973314409105203,5,1.7752917359765743,1.3594778336976585,300,3.226648909333213,4.0318507418174105,5,1.20610094573345,5,False.
NC,27,786,875-2625,yes,yes,200,5.609807421742167,1,6.333291117805304,6.2295245549459,0,4.563171468286271,1.1558815627791748,300,7.467474238216806,5.056271941822445,5,0.6010057820801213,9,True.
KS,42,758,243-9975,yes,yes,500,6.181479914878454,3,5.416725974866396,2.9794011947614054,1,4.941868767986375,2.797090434954118,150,6.628807188333775,6.228275969435136,7,0.726938444876116,7,True.
RI,128,827,141-2714,yes,yes,600,4.8651112232508025,3,5.549941784814542,5.0670720488144525,4,4.25943499781277,4.858180012118922,250,4.648770532724835,5.965950669822835,5,5.597592436097578,4,True.
DC,147,686,497-3016,no,yes,0,11.32123942558216,2,11.244015955242292,3.540910583189563,9,6.414942433868383,3.581118336719973,200,7.884220034036416,5.7937394535945765,5,1.2673301784759934,4,True.
CO,120,677,114-4803,no,yes,300,2.3983357955939533,3,8.517362354286568,8.494591971666345,10,0.7727560199078054,3.4345662213389474,350,2.723153339489588,5.910264218280902,6,6.898736480434741,3,False.
ID,163,736,424-7293,yes,yes,500,6.565333631091371,3,6.272021121036044,4.704599437739325,6,4.213779964429463,5.933852976550096,150,4.638013816501212,3.706585037356115,7,4.352769033877584,3,True.
AR,118,658,297-6982,yes,no,0,12.90890538632577,1,6.584503604976069,2.611011289130814,0,9.402236701081302,7.723400053252301,100,7.251007869931512,5.541271555182324,6,3.224911959041393,8,False.
VT,169,868,807-4303,no,no,0,12.976523668200706,1,8.059439393119881,10.009379670800389,3,9.5597122778801,1.4015441330744438,250,6.900947183966827,5.093026164835629,7,7.294208779539213,5,True.
MD,43,776,860-1693,yes,yes,600,2.8629389555273184,3,4.587953597423948,4.024853622774713,5,4.083320564477593,4.436738302552742,300,4.026547974767008,4.423550889209474,5,5.393556159926904,3,False.
